frame_id,player_id,joint_0_x_m,joint_0_y_m,joint_0_z_m,joint_1_x_m,joint_1_y_m,joint_1_z_m,joint_2_x_m,joint_2_y_m,joint_2_z_m,joint_3_x_m,joint_3_y_m,joint_3_z_m,joint_4_x_m,joint_4_y_m,joint_4_z_m,joint_5_x_m,joint_5_y_m,joint_5_z_m,joint_6_x_m,joint_6_y_m,joint_6_z_m,joint_7_x_m,joint_7_y_m,joint_7_z_m,joint_8_x_m,joint_8_y_m,joint_8_z_m,joint_9_x_m,joint_9_y_m,joint_9_z_m,joint_10_x_m,joint_10_y_m,joint_10_z_m,joint_11_x_m,joint_11_y_m,joint_11_z_m,joint_12_x_m,joint_12_y_m,joint_12_z_m,joint_13_x_m,joint_13_y_m,joint_13_z_m,joint_14_x_m,joint_14_y_m,joint_14_z_m,joint_15_x_m,joint_15_y_m,joint_15_z_m,joint_16_x_m,joint_16_y_m,joint_16_z_m
6,player_0,3.7003114,9.830307,-0.24380088,3.889201,10.070813,-0.109511465,3.6060205,10.61262,-0.51094097,4.0527754,10.664299,0.044721454,2.8325963,11.397444,-1.1254096,2.970701,8.500027,-0.36681682,3.5953345,9.579716,-0.8573638,3.8714938,9.511927,0.11624305,4.1143413,10.442418,-0.2184614,4.206568,10.521979,-0.5294718,4.605594,8.737117,-0.2807309,3.9529364,9.808181,1.2488745,2.978157,11.154608,-0.37555045,4.2045894,10.653567,0.04980558,3.7249284,11.414126,1.0819544,4.1955695,9.265574,0.16661319,3.644812,9.727193,-0.08661321
6,player_1,2.85046,2.7477434,-0.002085209,2.8459814,2.8295467,-0.029343054,2.8130395,2.9086914,-0.031605706,2.9639087,2.937896,0.029762685,2.5919526,3.2149916,-0.22276044,2.437246,2.406806,-0.07071703,2.7400618,2.896775,-0.26358727,2.9919508,2.7619276,-0.039267465,2.8509607,3.0571876,-0.11846379,2.9476876,3.0386314,-0.11894926,3.208384,2.4500499,0.0614851,2.9821358,2.869337,0.42688838,2.6381547,3.0531054,-0.036478296,2.9297218,2.9157238,-0.00081829727,2.8357544,3.2537103,0.34356564,3.1013443,2.7056642,0.25986084,2.762784,2.6812863,-0.17986086
7,player_0,3.6769905,9.732988,-0.26004052,3.9001503,9.96893,-0.11946158,3.5881763,10.447643,-0.44887978,4.009552,10.49379,0.0019164234,2.9364095,11.174762,-0.9593791,3.1058407,8.61415,-0.33824372,3.6087139,9.533166,-0.78266233,3.8635972,9.47533,0.06209107,4.0509033,10.278069,-0.22524904,4.131367,10.3185425,-0.49049532,4.4995365,8.782768,-0.2769807,3.8920135,9.748271,1.0707095,3.0563765,10.923196,-0.37923318,4.1559997,10.465862,0.0069567934,3.710928,11.131613,0.9017842,4.1524935,9.295887,0.15856338,3.6821384,9.64767,-0.07856338
7,player_1,2.8637195,2.7549863,0.004748881,2.856451,2.8336153,-0.019203886,2.830546,2.9023292,-0.0229204,2.9683797,2.9319427,0.033355597,2.6328516,3.1904683,-0.20177141,2.4927282,2.4444644,-0.055984005,2.7556534,2.8947983,-0.24528983,2.993094,2.7739894,-0.035745353,2.8702614,3.0301116,-0.10166211,2.953353,3.0244966,-0.113039784,3.1950028,2.4787414,0.05841524,2.9899304,2.8642251,0.39853013,2.6737444,3.0375476,-0.03648472,2.9320931,2.9063702,0.006424628,2.844289,3.2177851,0.31288463,3.0976777,2.717154,0.24656811,2.7783306,2.686476,-0.16656813
8,player_0,3.6233234,9.599119,-0.35243538,3.9301093,9.815674,-0.15612572,3.543111,10.346035,-0.43991578,3.9648397,10.365934,-0.032081835,2.9053357,11.127938,-1.0035999,3.1159368,8.5518265,-0.3861385,3.61888,9.442235,-0.8504194,3.902477,9.311023,0.0054589733,4.019308,10.188766,-0.26179966,4.088355,10.235316,-0.54080176,4.5203543,8.677891,-0.29330337,3.831843,9.683468,1.0479839,3.058688,10.824887,-0.44964957,4.1707006,10.284323,-0.052783817,3.7159865,10.97423,0.8506547,4.159595,9.2393,0.15839699,3.6946962,9.56768,-0.07839699
8,player_1,2.9088488,2.6606827,0.021821748,2.9012103,2.7204895,0.0022368655,2.8854742,2.7632565,-0.001271531,2.9749143,2.7802231,0.04134632,2.7493165,2.9621625,-0.12498418,2.655878,2.4459047,-0.017792106,2.8222094,2.7576227,-0.15545413,3.00105,2.6770034,-0.01255437,2.912663,2.844097,-0.050974704,2.9690785,2.8490043,-0.064605385,3.1357481,2.4677296,0.058275897,2.9933324,2.7346318,0.29252622,2.7763968,2.8528311,-0.021249287,2.949815,2.7633643,0.026093181,2.8896656,2.9804177,0.2308011,3.0699656,2.6360574,0.18577951,2.8410852,2.608537,-0.105779506
9,player_0,3.6219215,9.608123,-0.3589077,3.9293866,9.825344,-0.16149244,3.535933,10.365043,-0.44789588,3.9654098,10.381019,-0.032237664,2.8943384,11.156426,-1.0240115,3.1061397,8.547194,-0.39222348,3.615684,9.448443,-0.864135,3.9024615,9.312114,0.0061381087,4.0189137,10.208469,-0.2654258,4.0872784,10.253762,-0.5511665,4.5269814,8.6783285,-0.30236214,3.8320897,9.693247,1.0602373,3.0515435,10.847583,-0.45742285,4.172913,10.304836,-0.05416879,3.7113123,10.996323,0.86056817,4.1550694,9.241528,0.15891111,3.6945047,9.575707,-0.078911096
9,player_1,2.9113238,2.6683612,0.023019768,2.903939,2.7252882,0.003572289,2.888693,2.766687,0.00030015036,2.9743278,2.7821288,0.041683074,2.757806,2.9571111,-0.11870577,2.6677077,2.4605446,-0.015025064,2.8276086,2.760531,-0.14799592,2.9995394,2.6834564,-0.010139488,2.9145877,2.844274,-0.046906054,2.9691017,2.8490994,-0.0599105,3.1291015,2.4816763,0.05797417,2.9921482,2.7389472,0.28242734,2.783253,2.8515592,-0.0191857,2.9504237,2.7669556,0.027203597,2.8924391,2.97518,0.22375667,3.0654073,2.6438916,0.18044358,2.8457344,2.617336,-0.10044358
10,player_0,3.6696858,9.461063,-0.35723954,3.9404545,9.660931,-0.16558735,3.5896387,10.123509,-0.3905998,3.956634,10.127291,-0.067844465,2.9917648,10.801291,-0.8936199,3.2017028,8.554789,-0.37165427,3.630978,9.342698,-0.7766674,3.972731,9.241023,-0.028371848,3.9828153,10.015616,-0.2604431,4.03394,10.022157,-0.4518953,4.467598,8.653346,-0.25518256,3.8390489,9.573857,0.9372135,3.1310804,10.525404,-0.38490224,4.156107,10.037908,-0.08240591,3.7796547,10.679049,0.7577282,4.186298,9.175038,0.17112994,3.6666086,9.450041,-0.091129944
10,player_1,2.936361,2.6331868,0.027072888,2.9291067,2.691098,0.0026406944,2.9175625,2.731084,-0.00037964433,2.9941313,2.738843,0.045962673,2.7915533,2.9127862,-0.114858426,2.7049756,2.433265,-0.014552273,2.8436134,2.7213411,-0.14099526,3.0284803,2.651742,-0.011156894,2.9411948,2.7990062,-0.04063406,2.9893372,2.8099477,-0.057796188,3.1507082,2.4512644,0.054227266,3.0141923,2.7018166,0.2734551,2.808243,2.8097231,-0.02824077,2.976106,2.7314343,0.03227169,2.9198244,2.9282515,0.21888939,3.0893083,2.6119673,0.17870402,2.8715992,2.573271,-0.09870402
11,player_0,3.6989212,9.291937,-0.31667137,3.9492638,9.501763,-0.15926741,3.6254094,9.932987,-0.34398705,3.9447122,9.903851,-0.06234808,3.076672,10.53586,-0.8029543,3.2719944,8.502888,-0.3466285,3.6699612,9.22382,-0.69823605,3.9766111,9.120408,-0.030440483,3.9581394,9.818873,-0.2385051,4.007337,9.831084,-0.40022802,4.4131722,8.598126,-0.22950107,3.8373525,9.420741,0.8382885,3.1951058,10.274369,-0.35471374,4.1473775,9.808791,-0.07869941,3.809825,10.412218,0.6901362,4.1804757,9.063892,0.16153753,3.6734583,9.297378,-0.08153753
11,player_1,2.9725356,2.5565722,0.032927774,2.9672709,2.6057959,0.005579639,2.9552038,2.636842,0.0058461167,3.014015,2.6342642,0.049382217,2.8518548,2.7800589,-0.09052847,2.7843127,2.390137,-0.004533034,2.8827724,2.622754,-0.11042483,3.0513408,2.5711732,-0.0029932372,2.9735496,2.6871052,-0.024472613,3.0115952,2.7005193,-0.039571445,3.1503441,2.4035835,0.04769659,3.0303855,2.609575,0.23020189,2.8603668,2.699741,-0.025278043,3.0053825,2.6385605,0.036219966,2.9562516,2.7975974,0.18879385,3.0983937,2.5398405,0.15589002,2.9177225,2.494741,-0.07589002
12,player_0,3.6690242,9.2217245,-0.33739102,4.0015554,9.435182,-0.15718912,3.623695,9.91972,-0.34188777,3.9249249,9.888162,-0.049539685,3.014615,10.621876,-0.85365117,3.2420042,8.411625,-0.35695082,3.6855965,9.190976,-0.7716245,3.9583972,9.022291,-0.0062279627,3.949633,9.791273,-0.2583933,4.006627,9.825134,-0.4417644,4.456399,8.508453,-0.26253974,3.8285122,9.351798,0.88548315,3.1494765,10.322151,-0.42171538,4.220965,9.783257,-0.09061843,3.8140507,10.426808,0.76167315,4.176172,9.007325,0.15245068,3.6700485,9.256797,-0.07245068
12,player_1,3.0185902,2.5218818,0.033519402,3.004867,2.586384,-0.0074394047,2.9955587,2.6225717,-0.004364308,3.055715,2.6132755,0.05029598,2.8739905,2.7862582,-0.1189659,2.7975488,2.3332405,-0.018345557,2.8923986,2.6046796,-0.14152575,3.1103365,2.5444705,-0.013236366,3.013187,2.6735299,-0.0346627,3.0566187,2.7002091,-0.06274079,3.2330444,2.346514,0.047242124,3.0825217,2.5864155,0.2612641,2.8803604,2.691627,-0.047070622,3.0531049,2.6214106,0.037227757,2.993384,2.8157973,0.21616176,3.1685662,2.5074124,0.18177688,2.9498942,2.4407156,-0.10177689
13,player_0,3.556981,9.236658,-0.40280282,4.010445,9.504105,-0.13217068,3.5792556,10.039204,-0.3007044,3.8293335,9.90992,0.008235835,2.970162,10.833935,-0.8364255,3.2093813,8.489077,-0.33864403,3.6840067,9.2939415,-0.8384835,3.908125,9.053977,-0.017575793,3.9056664,9.877868,-0.24606699,3.9982526,9.968557,-0.46232677,4.4381714,8.489327,-0.29349047,3.707184,9.397149,0.89981335,3.1016355,10.510981,-0.52146894,4.2178493,9.82421,-0.09848456,3.7639625,10.522112,0.7917836,4.1570635,9.097394,0.12269616,3.6511514,9.314072,-0.04269617
13,player_1,3.080688,2.4651008,0.038066916,3.0543306,2.5443006,-0.016662829,3.055577,2.5791678,-0.007794626,3.111348,2.5661652,0.050175514,2.9173136,2.7576458,-0.13178116,2.8381,2.2661104,-0.021293662,2.923984,2.5582652,-0.1537742,3.1804678,2.488921,-0.017002158,3.0668724,2.6256337,-0.044732146,3.1187794,2.6583328,-0.072621636,3.3186123,2.2696302,0.05880583,3.1454694,2.5313525,0.2881065,2.918836,2.6456785,-0.05970589,3.1114109,2.5748625,0.03956499,3.0459557,2.8035803,0.2325508,3.245418,2.4487505,0.20415238,2.9997954,2.3712273,-0.124152385
14,player_0,3.467909,9.181334,-0.5241488,4.1016245,9.504581,-0.15718406,3.578667,10.191908,-0.31532285,3.7534356,9.959912,0.05649302,2.8150144,11.159121,-0.95988345,3.0986214,8.358017,-0.36290985,3.6480312,9.321765,-1.0185709,3.9285898,9.019649,-0.014659055,3.905808,10.012121,-0.29292658,4.0173726,10.14736,-0.50988007,4.5920906,8.298851,-0.3639881,3.5952854,9.376514,1.0867866,2.9314451,10.807643,-0.6964582,4.3242893,9.900869,-0.115928665,3.743727,10.777819,0.96206486,4.2253733,9.035775,0.15339157,3.5736773,9.283115,-0.07339157
14,player_1,3.143577,2.5696898,0.036144517,3.1064937,2.664732,-0.029287793,3.1212587,2.7048995,-0.018276215,3.177016,2.688858,0.04385338,2.9665866,2.9003396,-0.15039271,2.8746114,2.357698,-0.03502068,2.958279,2.6767595,-0.17476013,3.2601082,2.6042347,-0.02646485,3.130215,2.742838,-0.05667565,3.1849616,2.785241,-0.09173546,3.413415,2.354835,0.06870577,3.2228532,2.6426344,0.3170012,2.9591355,2.767622,-0.071898304,3.1811366,2.691473,0.039339095,3.111758,2.9588997,0.25582165,3.337792,2.5589805,0.23036674,3.0491319,2.4628148,-0.15036675
15,player_0,3.4620008,9.171082,-0.52369606,4.110359,9.502942,-0.15430456,3.5705216,10.209826,-0.3175637,3.7637687,9.974999,0.06037166,2.784154,11.194078,-0.9858098,3.070055,8.3185,-0.3700286,3.6504562,9.311983,-1.0217054,3.932581,9.002807,-0.0033506379,3.904896,10.027811,-0.29956654,4.023444,10.163719,-0.5178361,4.607562,8.279667,-0.3568516,3.6131694,9.382379,1.1211201,2.9287086,10.827833,-0.69149023,4.3272963,9.9097805,-0.10597368,3.7339525,10.803514,0.9952827,4.2315087,9.019817,0.15586872,3.5707183,9.284764,-0.07586873
15,player_1,3.142929,2.5736856,0.036611855,3.1060188,2.6687584,-0.027907513,3.121766,2.708565,-0.017453052,3.1766613,2.693121,0.043875825,2.965966,2.9037256,-0.14905909,2.874978,2.3614473,-0.03498541,2.9584453,2.6799426,-0.17349553,3.260497,2.607539,-0.025659457,3.13054,2.7452471,-0.056285113,3.1845813,2.7887952,-0.09064097,3.4121501,2.3584738,0.069761716,3.222515,2.64582,0.31836817,2.9580712,2.7712963,-0.0710993,3.1813378,2.6952193,0.039620295,3.1114492,2.963659,0.25581905,3.3381426,2.5627694,0.23039207,3.0483322,2.466272,-0.15039209
16,player_0,3.4069462,9.116114,-0.60663015,4.148005,9.429129,-0.1712349,3.5733104,10.20316,-0.33750555,3.7058346,9.940439,0.104488365,2.7301965,11.30318,-1.0073985,3.019372,8.226545,-0.39091006,3.6262083,9.281739,-1.10825,3.9528499,8.944089,-0.032729097,3.9044442,10.087316,-0.32274094,4.0326433,10.200264,-0.5149629,4.714157,8.1439705,-0.4175178,3.5656803,9.346819,1.1925505,2.844499,10.9257345,-0.7938539,4.379223,9.872924,-0.16521552,3.747355,10.867349,1.048727,4.2718916,8.963161,0.18764582,3.5156362,9.193515,-0.10764583
16,player_1,3.200738,2.6269484,0.032560468,3.1507716,2.7401004,-0.041638784,3.1808197,2.789575,-0.023574866,3.2375429,2.7668931,0.03666403,3.0001214,3.010181,-0.17212327,2.89742,2.3974838,-0.047706515,2.9839938,2.7549043,-0.19639155,3.3354108,2.6699338,-0.034079008,3.186534,2.819205,-0.071505025,3.2472034,2.872085,-0.108771,3.5066895,2.38869,0.08191646,3.2919838,2.7105598,0.35523996,2.987163,2.8495176,-0.08499093,3.2441633,2.762721,0.03854178,3.1685126,3.0795822,0.28752637,3.4277337,2.6211004,0.26166975,3.0893848,2.511202,-0.18166976
17,player_0,3.5900178,9.149805,-0.35631683,4.0630174,9.335939,-0.03960354,3.7045908,9.810551,-0.16344237,3.804251,9.68696,0.11692757,3.09336,10.554571,-0.6016772,3.2390294,8.529015,-0.24020907,3.7027311,9.272077,-0.6617521,3.9610991,8.996013,0.03474541,3.8698668,9.820996,-0.20642883,3.9680147,9.836057,-0.2893589,4.4846487,8.510271,-0.2063444,3.7451217,9.338409,0.8589023,3.2503433,10.322997,-0.44127452,4.203272,9.608392,-0.10689812,3.7703407,10.283415,0.7671821,4.1644735,9.009114,0.18137476,3.6127608,9.215545,-0.10137475
17,player_1,3.2280629,2.7694519,0.032292143,3.1581342,2.9075608,-0.052323535,3.190416,2.9519272,-0.028029926,3.2641664,2.9329805,0.038139332,2.9923756,3.2038126,-0.20002937,2.877561,2.51978,-0.06314989,2.9718602,2.9219165,-0.2310488,3.380216,2.8164415,-0.045125686,3.2008982,2.9844134,-0.092337124,3.271888,3.046528,-0.13707152,3.568295,2.5066319,0.0928517,3.3283124,2.865972,0.40240234,2.9766545,3.0227177,-0.100082286,3.266849,2.9253886,0.036254138,3.1880207,3.2866893,0.32261276,3.478961,2.7683265,0.29668722,3.0921764,2.6406589,-0.21668723
18,player_0,3.6719007,9.099466,-0.28662443,4.0007043,9.241205,-0.044002347,3.7924547,9.579212,-0.15892221,3.8353794,9.470447,0.06062486,3.281002,10.134235,-0.47264105,3.4043496,8.604952,-0.2161149,3.7448974,9.156127,-0.5214013,4.011465,8.975335,-0.00063468516,3.8650405,9.602646,-0.16360255,3.933239,9.589295,-0.21355821,4.371486,8.59946,-0.15411559,3.8055165,9.205619,0.6592416,3.368916,9.9666815,-0.3308652,4.169248,9.439923,-0.07488565,3.83712,9.951384,0.6148296,4.146498,8.983977,0.17894858,3.651156,9.109761,-0.09894857
18,player_1,3.2406964,2.8724003,0.035842504,3.1583464,3.012241,-0.044197686,3.1887596,3.0365946,-0.024847507,3.2772079,3.036026,0.037047736,3.0017068,3.3077316,-0.19391295,2.8925192,2.6232345,-0.05535686,2.9928198,3.028493,-0.23702511,3.3841915,2.9143937,-0.047895163,3.2106125,3.0755324,-0.09260241,3.2754493,3.1434038,-0.14861965,3.5714068,2.604479,0.09757233,3.345481,2.9752927,0.40601206,2.990032,3.115881,-0.0977046,3.276786,3.025118,0.031530093,3.1955616,3.3857186,0.31847683,3.4910307,2.862937,0.30356392,3.0942335,2.7458696,-0.22356394
19,player_0,3.7320325,9.049025,-0.13039967,3.8991904,9.185339,-0.016896091,3.7773347,9.416407,-0.10723895,3.8936532,9.340158,0.05480374,3.406476,9.785725,-0.34151852,3.497559,8.641863,-0.18469442,3.7623978,9.093221,-0.3432746,3.9602022,8.980641,0.041179482,3.8908708,9.405568,-0.07766044,3.944996,9.448392,-0.13265806,4.207315,8.683445,-0.05894798,3.8624506,9.144194,0.5423827,3.4907176,9.672514,-0.16634496,4.040336,9.293985,0.005826719,3.8445053,9.718998,0.48838687,4.1159086,8.940599,0.15087402,3.6759198,9.058176,-0.07087402
19,player_1,3.2519832,2.846465,0.03741786,3.1586163,2.9917634,-0.04060991,3.1786995,3.0061538,-0.025069207,3.2869484,3.0234315,0.037990138,2.9920197,3.3099198,-0.1985741,2.8836412,2.5931716,-0.056696795,3.0017464,3.0281487,-0.26039264,3.3900235,2.8882208,-0.052124962,3.207535,3.0596068,-0.10486432,3.2742252,3.1354027,-0.17442167,3.5952332,2.5752592,0.10313308,3.3678336,2.9673178,0.4248401,2.9970028,3.1035578,-0.09972761,3.283883,3.0091867,0.021110341,3.195701,3.3826623,0.33086333,3.5122335,2.8331478,0.3234086,3.091463,2.7187681,-0.24340859
20,player_0,3.7360656,9.072888,-0.09578182,3.8527935,9.224277,-0.0022704825,3.7660403,9.439865,-0.14075686,3.9586868,9.411855,0.0469371,3.4042215,9.780693,-0.37921315,3.467029,8.609169,-0.2028148,3.7463896,9.09013,-0.30821526,3.9514635,9.006723,0.05385046,3.925324,9.425187,-0.050269246,3.967328,9.481998,-0.12395924,4.174826,8.695288,0.0008305311,3.9232223,9.181883,0.5885453,3.4804473,9.661286,-0.10441159,3.9854095,9.327829,0.04449133,3.8553073,9.7842,0.5193704,4.1408186,8.937252,0.13713306,3.642593,9.077056,-0.057133064
20,player_1,3.269573,2.82954,0.036737684,3.1723232,2.9737952,-0.029075101,3.1912575,2.9890118,-0.02562695,3.3005655,3.0173984,0.038901284,2.9989376,3.302903,-0.20025015,2.8866136,2.5655782,-0.05242595,3.0321522,3.0273497,-0.26184532,3.398755,2.8833218,-0.054668248,3.2123148,3.0533242,-0.1109601,3.280117,3.1415136,-0.1781573,3.6072693,2.5733986,0.10600269,3.39108,2.9686077,0.42906353,3.017492,3.0909576,-0.09408548,3.3017967,3.0056527,0.017230753,3.198267,3.3713841,0.3409883,3.529476,2.8104222,0.3275054,3.1016903,2.7061336,-0.2475054
21,player_0,3.7334087,9.07308,-0.09863495,3.8517625,9.2245,-0.0050926358,3.7634802,9.443123,-0.14372328,3.9575539,9.414681,0.04565475,3.40062,9.788054,-0.3832999,3.4648013,8.608471,-0.20705658,3.7451384,9.09175,-0.31413892,3.950735,9.007948,0.05242561,3.923658,9.429326,-0.05126334,3.9654503,9.485489,-0.12720996,4.176884,8.694397,-0.0026771128,3.9234893,9.183665,0.58827645,3.479302,9.668718,-0.109546386,3.9862378,9.330391,0.043407083,3.8537118,9.787823,0.52174246,4.141138,8.938107,0.13692445,3.6422734,9.076201,-0.056924455
21,player_1,3.2702115,2.8268661,0.037693173,3.1752613,2.9693124,-0.027841747,3.1939719,2.98385,-0.024736077,3.300953,3.0112724,0.03938049,3.0044281,3.2931757,-0.1967512,2.893759,2.5664306,-0.051046252,3.0361638,3.0210419,-0.25746757,3.3982718,2.8792825,-0.053149015,3.2148423,3.0468578,-0.10765434,3.2812576,3.1342936,-0.17526722,3.6030831,2.5739028,0.1049508,3.3897367,2.963887,0.42363113,3.022047,3.0840392,-0.092645,3.3030736,3.0005534,0.018074978,3.201386,3.361199,0.33707273,3.5272853,2.8076746,0.32313237,3.104481,2.7050815,-0.24313238
